index:   48, size:  38938, qp: 30, enc_time:  3.83, black: 0, mvx:   337, mvy:  -308, intra_mb:  7008, inter_mb:  1152, intra_ratio: 85.88, satd:    7071813, sqoe_score: 9.16836, sqoe_fr_score: 9.24136, recommend_rate:  47022,ssim: 0.98040, y_psnr: 41.456, u_psnr: 43.348, v_psnr: 43.901, yuv_psnr: 41.998, vmaf: 0.000, frame_type: 3
index:   49, size:  41198, qp: 29, enc_time:  3.74, black: 0, mvx:    53, mvy:  -243, intra_mb:  7172, inter_mb:   988, intra_ratio: 87.89, satd:    6758823, sqoe_score: 9.28578, sqoe_fr_score: 9.25332, recommend_rate:  45641,ssim: 0.98180, y_psnr: 42.061, u_psnr: 43.275, v_psnr: 43.529, yuv_psnr: 42.396, vmaf: 0.000, frame_type: 3
index:   50, size:  42973, qp: 28, enc_time:  3.87, black: 0, mvx:  -176, mvy:  -403, intra_mb:  6950, inter_mb:  1210, intra_ratio: 85.17, satd:    6294887, sqoe_score: 9.36744, sqoe_fr_score: 9.46425, recommend_rate:  39294,ssim: 0.98347, y_psnr: 42.625, u_psnr: 44.057, v_psnr: 44.313, yuv_psnr: 43.015, vmaf: 0.000, frame_type: 3
index:   51, size:  46709, qp: 27, enc_time:  3.67, black: 0, mvx:   824, mvy:  -401, intra_mb:  6838, inter_mb:  1322, intra_ratio: 83.80, satd:    6109161, sqoe_score: 9.29242, sqoe_fr_score: 9.55979, recommend_rate:  38000,ssim: 0.98480, y_psnr: 43.094, u_psnr: 44.831, v_psnr: 45.060, yuv_psnr: 43.557, vmaf: 0.000, frame_type: 3
index:   52, size:  52190, qp: 26, enc_time:  3.71, black: 0, mvx:   171, mvy:  -207, intra_mb:  6663, inter_mb:  1497, intra_ratio: 81.65, satd:    5994379, sqoe_score: 9.67987, sqoe_fr_score: 9.62290, recommend_rate:  38000,ssim: 0.98484, y_psnr: 43.547, u_psnr: 44.776, v_psnr: 45.034, yuv_psnr: 43.886, vmaf: 0.000, frame_type: 3
index:   53, size:  60660, qp: 25, enc_time:  3.86, black: 0, mvx:   -11, mvy:  -187, intra_mb:  6889, inter_mb:  1271, intra_ratio: 84.42, satd:    5706554, sqoe_score: 9.63759, sqoe_fr_score: 9.65201, recommend_rate:  38000,ssim: 0.98644, y_psnr: 44.279, u_psnr: 45.208, v_psnr: 45.375, yuv_psnr: 44.532, vmaf: 0.000, frame_type: 3
index:   54, size:  66635, qp: 24, enc_time:  4.06, black: 0, mvx:    47, mvy:   -98, intra_mb:  6622, inter_mb:  1538, intra_ratio: 81.15, satd:    5791424, sqoe_score: 9.68686, sqoe_fr_score: 9.70975, recommend_rate:  38000,ssim: 0.98674, y_psnr: 44.675, u_psnr: 45.480, v_psnr: 45.727, yuv_psnr: 44.907, vmaf: 0.000, frame_type: 3
index:   55, size:  72179, qp: 23, enc_time:  3.67, black: 0, mvx:   698, mvy:  -418, intra_mb:  6923, inter_mb:  1237, intra_ratio: 84.84, satd:    5533299, sqoe_score: 9.57576, sqoe_fr_score: 9.83341, recommend_rate:  38000,ssim: 0.98799, y_psnr: 45.422, u_psnr: 45.846, v_psnr: 46.044, yuv_psnr: 45.553, vmaf: 0.000, frame_type: 3
index:   56, size:  79606, qp: 22, enc_time:  3.76, black: 0, mvx:  -109, mvy:  -443, intra_mb:  6970, inter_mb:  1190, intra_ratio: 85.42, satd:    5418425, sqoe_score: 9.76610, sqoe_fr_score: 9.91767, recommend_rate:  38000,ssim: 0.98919, y_psnr: 46.033, u_psnr: 46.212, v_psnr: 46.322, yuv_psnr: 46.091, vmaf: 0.000, frame_type: 3
index:   57, size:  86082, qp: 21, enc_time:  3.76, black: 0, mvx:   -87, mvy:  -443, intra_mb:  6585, inter_mb:  1575, intra_ratio: 80.70, satd:    5317456, sqoe_score: 9.80234, sqoe_fr_score: 9.91001, recommend_rate:  38000,ssim: 0.98983, y_psnr: 46.430, u_psnr: 46.358, v_psnr: 46.488, yuv_psnr: 46.428, vmaf: 0.000, frame_type: 3
index:   58, size:  73607, qp: 22, enc_time:  3.62, black: 0, mvx:   168, mvy:  -260, intra_mb:  7050, inter_mb:  1110, intra_ratio: 86.40, satd:    5225553, sqoe_score: 9.77108, sqoe_fr_score: 9.87501, recommend_rate:  38000,ssim: 0.99210, y_psnr: 46.685, u_psnr: 46.846, v_psnr: 47.538, yuv_psnr: 46.812, vmaf: 0.000, frame_type: 3
index:   59, size:  95123, qp: 21, enc_time:  3.83, black: 0, mvx:    56, mvy:  -446, intra_mb:  7059, inter_mb:  1101, intra_ratio: 86.51, satd:    5686174, sqoe_score: 9.82951, sqoe_fr_score: 9.91731, recommend_rate:  38000,ssim: 0.99287, y_psnr: 46.890, u_psnr: 46.088, v_psnr: 46.806, yuv_psnr: 46.779, vmaf: 0.000, bitrate: 34987, frame_type: 3
index:   60, size: 189812, qp: 20, enc_time:  3.86, black: 0, mvx:     0, mvy:     0, intra_mb:  8160, inter_mb:     0, intra_ratio: 100.00, satd:    9181819, sqoe_score: 9.67645, sqoe_fr_score: 9.96758, recommend_rate:  38000,ssim: 0.99260, y_psnr: 46.327, u_psnr: 45.891, v_psnr: 46.443, yuv_psnr: 46.287, vmaf: 0.000, frame_type: 1
index:   61, size:   1171, qp: 24, enc_time:  3.60, black: 0, mvx:     0, mvy:     0, intra_mb:     6, inter_mb:  8154, intra_ratio:  0.07, satd:    3004164, sqoe_score: 9.36905, sqoe_fr_score: 10.00000, recommend_rate:  30966,ssim: 0.99279, y_psnr: 46.609, u_psnr: 45.945, v_psnr: 46.492, yuv_psnr: 46.511, vmaf: 0.000, frame_type: 3
index:   62, size:   4925, qp: 22, enc_time:  3.39, black: 0, mvx:     0, mvy:     0, intra_mb:    16, inter_mb:  8144, intra_ratio:  0.20, satd:    2968068, sqoe_score: 9.57428, sqoe_fr_score: 9.86282, recommend_rate:  25040,ssim: 0.99312, y_psnr: 47.226, u_psnr: 46.313, v_psnr: 46.877, yuv_psnr: 47.068, vmaf: 0.000, frame_type: 3
index:   63, size:   3942, qp: 20, enc_time:  3.38, black: 0, mvx:     0, mvy:     0, intra_mb:    15, inter_mb:  8145, intra_ratio:  0.18, satd:    2895719, sqoe_score: 9.69586, sqoe_fr_score: 9.94187, recommend_rate:  17848,ssim: 0.99329, y_psnr: 47.504, u_psnr: 46.530, v_psnr: 47.081, yuv_psnr: 47.329, vmaf: 0.000, frame_type: 3
index:   64, size:  13006, qp: 18, enc_time:  3.59, black: 0, mvx:     0, mvy:     0, intra_mb:    53, inter_mb:  8107, intra_ratio:  0.65, satd:    2814740, sqoe_score: 9.77717, sqoe_fr_score: 9.98854, recommend_rate:  12758,ssim: 0.99376, y_psnr: 48.111, u_psnr: 47.048, v_psnr: 47.603, yuv_psnr: 47.915, vmaf: 0.000, frame_type: 3
index:   65, size:  11220, qp: 16, enc_time:  3.52, black: 0, mvx:     0, mvy:     0, intra_mb:    20, inter_mb:  8140, intra_ratio:  0.25, satd:    2713296, sqoe_score: 9.82434, sqoe_fr_score: 10.00000, recommend_rate:   9611,ssim: 0.99396, y_psnr: 48.497, u_psnr: 47.464, v_psnr: 47.972, yuv_psnr: 48.302, vmaf: 0.000, frame_type: 3
index:   66, size: 117399, qp: 17, enc_time:  3.69, black: 0, mvx:  2148, mvy:  -403, intra_mb:  7439, inter_mb:   721, intra_ratio: 91.16, satd:    5147472, sqoe_score: 8.94716, sqoe_fr_score: 9.93624, recommend_rate:  38000,ssim: 0.99353, y_psnr: 49.259, u_psnr: 50.051, v_psnr: 50.374, yuv_psnr: 49.497, vmaf: 0.000, frame_type: 3
index:   67, size:  77499, qp: 19, enc_time:  3.76, black: 0, mvx:  1179, mvy:  -436, intra_mb:  7304, inter_mb:   856, intra_ratio: 89.51, satd:    4332390, sqoe_score: 9.30862, sqoe_fr_score: 9.93091, recommend_rate:  38000,ssim: 0.99275, y_psnr: 48.840, u_psnr: 49.714, v_psnr: 50.063, yuv_psnr: 49.102, vmaf: 0.000, frame_type: 3
index:   68, size:  87242, qp: 19, enc_time:  3.84, black: 0, mvx:   453, mvy:  -410, intra_mb:  7276, inter_mb:   884, intra_ratio: 89.17, satd:    4778858, sqoe_score: 9.74658, sqoe_fr_score: 9.96890, recommend_rate:  38000,ssim: 0.99319, y_psnr: 48.834, u_psnr: 49.583, v_psnr: 50.014, yuv_psnr: 49.075, vmaf: 0.000, frame_type: 3
